code_name,SMILES,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,MolLogP
Anion_0138,O=C([O-])Cc1ccc2c(c1)OCO2,2.4608,-5.1395,-2.6787,3.1325,-5.0809,12.428,-1.0,345.8364,-61.7339,-2.2784,-0.2923
Anion_0139,COC1=CC=CC(=CC=C([O-])[O-])[CH+]1,1.2103,-4.8776,-3.6673,3.3383,-3.8155,19.1633,-1.0,374.6542,-71.4973,-2.5527,-0.220809999999999
Anion_0140,COC1=CC(=CC=C([O-])[O-])C=C(OC)[C+]1OC,1.1737,-4.9926,-3.8189,3.3962,-3.5477,20.8586,-1.0,455.9653,-73.1684,-3.0525,-0.27261
Anion_0141,O=C([O-])Cc1ccc(Cl)c(Cl)c1,2.3491,-5.6291,-3.28,3.5321,-4.2138,7.415,-1.0,353.0579,-55.7814,-1.8577,1.285799999999999
Anion_0142,C=CCCCCC(=O)[O-],1.9559,-4.4382,-2.4823,3.1789,-6.1965,13.3013,-1.0,316.2902,-69.1787,-1.9153,0.482699999999999
Anion_0143,O=C([O-])c1ccc(Cl)s1,2.3559,-5.7421,-3.3862,4.0614,-4.253,8.707,-1.0,291.7876,-62.3849,-1.981,0.764999999999999
Anion_0144,Cc1c[n+](CC(=O)[O-])c([O-])[nH+]c1[O-],1.6455000000000002,-5.7502,-4.1047,4.2297,-3.7973,8.496,-1.0,347.9645,-62.1587,-4.7185,-4.006279999999998
Anion_0145,COc1cc(CC(=O)[O-])cc(OC)c1OC,2.7423,-5.1781,-2.4358,3.1472,-5.0827,11.8904,-1.0,427.1108,-66.8008,-2.642,0.004799999999999
Anion_0146,Cc1ccc(C(=O)[O-])s1,2.2781,-5.0811,-2.803,3.5507,-4.914,14.851,-1.0,296.2979,-72.648,-2.3985,0.420019999999999
Anion_0147,CC=C(C)C(=O)[O-],,,,,,,,,,,
Anion_0148,O=C([O-])C=Cc1ccc2c(c1)OCO2,1.1416,-4.9675,-3.8259,3.3867000000000003,-3.6352,20.0199,-1.0,370.6614,-69.2158,-2.7293000000000003,0.178399999999999
Anion_0149,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-],3.3679,-5.1076,-1.7397,3.3295,-6.492,21.7745,-1.0,562.582,-65.9518,-2.5332,2.115599999999999
Anion_0150,O=C([O-])Cc1cccnc1,2.2512,-5.1858,-2.9346,3.3264,-5.0227,9.387,-1.0,298.688,-63.5971,-1.843,-0.626
Anion_0151,CC(=Cc1ccccc1)C(=O)[O-],1.7024,-4.8891,-3.1867,3.2496,-4.3125,12.4208,-1.0,348.4629,-69.2058,-2.0284,0.8397999999999991
